"unique_id","study","study_log_number","project","date","station","species","serial_number","prey_type","prey_length_species","prey_length","estimate","prey_weight"
"DOP_0002","DOP","0002","EDSM","15-Aug-17","18-03-SSC02","Delta Smelt","0002","Hyperacanthomysis longirostris",NA,1,"ED",NA
"DOP_0002","DOP","0002","EDSM","15-Aug-17","18-03-SSC02","Delta Smelt","0002","Hyperacanthomysis longirostris",NA,1,"ED",NA
"DOP_0006","DOP","0006","EDSM","28-Aug-17","18-05-LSR02","Delta Smelt","0006","Corophium type","juvenile Corophium",1.1,NA,NA
"DOP_0007","DOP","0007","EDSM","08-Sep-17","18-06-LSR01","Delta Smelt","0007","Corophium type","A. spinicorne",2.1,NA,0.00028
"DOP_0007","DOP","0007","EDSM","08-Sep-17","18-06-LSR01","Delta Smelt","0007","Corophium type","juvenile Corophium",1.2,NA,NA
"DOP_0008","DOP","0008","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0008","Hyperacanthomysis longirostris",NA,1.6,"Y",NA
"DOP_0008","DOP","0008","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0008","Corophium type","juvenile Corophium",1.1,NA,NA
"DOP_0008","DOP","0008","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0008","Corophium type","juvenile Corophium",1.3,NA,NA
"DOP_0008","DOP","0008","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0008","Gammarus type","juvenile Gammarus",1.6,"S",NA
"DOP_0009","DOP","0009","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0009","Corophium type","juvenile Corophium",2,NA,NA
"DOP_0010","DOP","0010","EDSM","18-Sep-17","18-08-LSR01","Delta smelt","0010","Gammarus type","juvenile Gammarus",1.8,NA,NA
"DOP_0010","DOP","0010","EDSM","18-Sep-17","18-08-LSR01","Delta smelt","0010","Corophium type","A. stimpsoni",3.8,NA,0.00068
"DOP_0010","DOP","0010","EDSM","18-Sep-17","18-08-LSR01","Delta smelt","0010","Gammarus type","juvenile Gammarus",1.1,NA,NA
"DOP_0012","DOP","0012","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0012","Corophium type","Unid Corophium type",1.3,"S",NA
"DOP_0012","DOP","0012","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0012","Corophium type","juvenile Corophium",1.2,"S",NA
"DOP_0014","DOP","0014","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0014","Gammarus type","juvenile Gammarus",1.7,NA,NA
"DOP_0017","DOP","0017","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0017","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0017","DOP","0017","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0017","Corophium type","juvenile Corophium",1.1,NA,NA
"DOP_0017","DOP","0017","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0017","Gammarus type","Unid Gammaroidea",3,NA,2e-04
"DOP_0020","DOP","0020","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0020","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0022","DOP","0022","EDSM","18-Sep-17","18-08-LSR02","Delta Smelt","0022","Corophium type","juvenile Corophium",1.6,NA,NA
"DOP_0022","DOP","0022","EDSM","18-Sep-17","18-08-LSR02","Delta Smelt","0022","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0023","DOP","0023","EDSM","18-Sep-17","18-08-LSR02","Delta Smelt","0023","Corophium type","juvenile Corophium",1.3,"S",NA
"DOP_0024","DOP","0024","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0024","Unid Mysids",NA,1.6,"S",NA
"DOP_0024","DOP","0024","EDSM","18-Sep-17","18-08-LSR01","Delta Smelt","0024","Gammarus type","Unid Gammarus type",3,"S",NA
"DOP_0027","DOP","0027","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0027","Gammarus type","Gammarus spp.",5.6,NA,NA
"DOP_0027","DOP","0027","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0027","Unid Amphipod","Unid amphipod",2.9,"S",NA
"DOP_0027","DOP","0027","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0027","Gammarus type","juvenile Gammarus",1.5,NA,NA
"DOP_0028","DOP","0028","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0028","Corophium type","Unid Corophium type",3.5,"S",NA
"DOP_0029","DOP","0029","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0029","Unid Amphipod","Unid amphipod",2.9,"S",NA
"DOP_0029","DOP","0029","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0029","Gammarus type","Unid Gammarus type",3.3,"S",NA
"DOP_0030","DOP","0030","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0030","Gammarus type","Unid Gammarus type",3.2,"ED",NA
"DOP_0030","DOP","0030","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0030","Corophium type","juvenile Corophium",1.8,NA,NA
"DOP_0030","DOP","0030","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0030","Gammarus type","Gammarus spp.",4.9,NA,NA
"DOP_0030","DOP","0030","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0030","Gammarus type","juvenile Gammarus",1.9,NA,NA
"DOP_0030","DOP","0030","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0030","Gammarus type","Gammarus spp.",4.9,"G",NA
"DOP_0030","DOP","0030","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0030","Gammarus type","Unid Gammarus type",3.2,"ED",NA
"DOP_0031","DOP","0031","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0031","Gammarus type","Unid Gammarus type",3.2,"ED",NA
"DOP_0031","DOP","0031","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0031","Gammarus type","Unid Gammarus type",4.6,"ED",NA
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","juvenile Gammarus",1.9,"S",NA
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","Gammarus spp.",6.8,NA,NA
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","Gammarus spp.",3.6,NA,NA
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","Gammarus spp.",2.4,NA,0.00027
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","Gammarus spp.",2.8,NA,NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Gammarus type","Unid Gammarus type",4.6,"G",NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Gammarus type","Unid Gammarus type",4.6,"ED",NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Gammarus type","Unid Gammarus type",3.2,"S",NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Corophium type","juvenile Corophium",1.4,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",5.5,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",3.7,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Unid Gammarus type",3.2,"G",NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Unid Gammarus type",3.2,"G",NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",6,"ED",NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",2.1,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Unid Gammarus type",3.2,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",2.9,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",3.4,NA,NA
"DOP_0037","DOP","0037","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0037","Gammarus type","Unid Gammarus type",3.2,"S",NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.7,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3.2,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3.4,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.2,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",2.6,NA,2e-04
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3,NA,NA
