"unique_id","study","study_log_number","project","gear_type","year","month","date","time","serial_number","station","species","depth","temp_surf","cond_surf","ppt_surf","temp_bott","cond_bott","ppt_bott","secchi","turbidity","total_body_weight","fork_length","gut_contents","total_gut_content_weight","total_number_of_prey","total_prey_weight","gut_fullness","fullness_rank","digestion_rank","debris_sand_silt_mud","unid_animal_material","unid_plant_material","stomach_gut_tissue","worm_pieces","acanthocyclops_spp","acartia_copepodid","acartia_spp","acartiella_copepodid","acartiella_sinensis","barnacle_nauplii","bosmina_spp","calanoid_copepodid","ceriodaphnia_spp","chironomid_larvae","clams","copepod_nauplii","corophium_type","crab_megalope","crab_zoea","cumaceans","cyclopoid_copepodid","daphnia_spp","diaphanosoma_spp","diaptomus_copepodid","diaptomus_spp","eurytemora_copepodid","eurytemora_nauplii","eurytemora_spp","fish_eggs","gammarus_type","harpacticoids","hyperacanthomysis_longirostris","isopods","limnoithona_copepodid","limnoithona_spp","longfin_smelt","neomysis_kadiakensis","neomysis_mercedis","nippoleucon_hinumensis","oithona_copepodid","oithona_davisae","osphranticum","ostracods","other_calanoid","other_cladocera","other_cyclopoid","other_insect_larvae","other_malacostraca","other_rotifer","other_zooplankton","pacific_herring","palaemon","prickly_sculpin","pseudodiaptomus_copepodid","pseudodiaptomus_forbesi","pseudodiaptomus_marinus","pseudodiaptomus_nauplii","pseudodiaptomus_spp","sinocalanus_copepodid","sinocalanus_nauplii","sinocalanus_spp","synchaeta","terrestrial_invertebrates","tortanus_copepodid","tortanus_dextrilobatus","tortanus_spp","tridentiger_spp","unid_amphipod","unid_calanoid","unid_cladocera","unid_copepod","unid_cyclopoid","unid_fish","unid_mysids"
"DOP_0001","DOP","0001","EDSM","KT",2017,8,2017-08-10,"08:30","0001","18-02-CS01","Delta Smelt",NA,22.9,246,0.11,NA,NA,NA,50,21.2,0.386,42,"Y",NA,30,0.0008242,0.213523316,2,3,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"DOP_0002","DOP","0002","EDSM","KT",2017,8,2017-08-15,"11:51","0002","18-03-SSC02","Delta Smelt",NA,22.8,419,0.19,NA,NA,NA,28,39.7,0.7533,52,"Y",0.0036,33,0.0012773,0.1695606,2,3,"N","N","N","N","N",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0
"DOP_0003","DOP","0003","EDSM","KT",2017,8,2017-08-21,"08:42","0003","18-04-LSR05","Delta Smelt",NA,20.9,2632,1.34,NA,NA,NA,45,24.6,0.7654,47,"Y",0.004,40,0.0003602,0.047060361,2,2,"N","N","N","N","N",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOP_0004","DOP","0004","EDSM","KT",2017,8,2017-08-22,"10:30","0004","18-04-SSC02","Delta Smelt",NA,22.9,1420,0.69,NA,NA,NA,30,56.3,0.5043,47,"Y",0.0014,1,4.44e-05,0.008804283,1,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOP_0005","DOP","0005","EDSM","KT",2017,8,2017-08-28,"08:38","0005","18-05-LSR02","Delta Smelt",NA,21.9,902,0.42,NA,NA,NA,53,23.5,0.8861,48,"Y",NA,136,0.0020951,0.236440582,2,2,"N","N","N","N","N",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,89,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"DOP_0006","DOP","0006","EDSM","KT",2017,8,2017-08-28,"08:38","0006","18-05-LSR02","Delta Smelt",NA,21.9,902,0.42,NA,NA,NA,53,23.5,1.809,64,"Y",NA,19,0.0010684496,0.059062996,3,2,"N","N","N","N","N",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOP_0007","DOP","0007","EDSM","KT",2017,9,2017-09-08,"08:49","0007","18-06-LSR01","Delta Smelt",NA,22.3,1976,0.98,NA,NA,NA,57,19.1,1.0606,53,"Y",NA,81,0.0036166187,0.34099743,3,3,"N","N","N","N","N",0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DOP_0008","DOP","0008","EDSM","KT",2017,9,2017-09-18,"09:45","0008","18-08-LSR01","Delta Smelt",NA,20.9,159,0.07,NA,NA,NA,58,16.2,0.7377,49,"Y",0.0036,14,0.0007872666,0.106719078,3,3,"N","N","N","N","N",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOP_0009","DOP","0009","EDSM","KT",2017,9,2017-09-18,"09:45","0009","18-08-LSR01","Delta Smelt",NA,20.9,159,0.07,NA,NA,NA,58,16.2,0.726,47,"Y",0.0038,17,0.0008711728,0.119996247,2,2,"N","N","N","N","N",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOP_0010","DOP","0010","EDSM","KT",2017,9,2017-09-18,"09:45","0010","18-08-LSR01","Delta Smelt",NA,20.9,159,0.07,NA,NA,NA,58,16.2,1.0353,56,"Y",NA,40,0.0031970529,0.30880449,3,3,"N","N","N","N","N",0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DOP_0011","DOP","0011","EDSM","KT",2017,9,2017-09-18,"09:45","0011","18-08-LSR01","Delta Smelt",NA,20.9,159,0.07,NA,NA,NA,58,16.2,0.7118,47,"Y",NA,18,0.0007818,0.109834223,2,2,"N","N","N","N","N",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOP_0012","DOP","0012","EDSM","KT",2017,9,2017-09-18,"10:13","0012","18-08-LSR01","Delta Smelt",NA,20.9,182,0.08,NA,NA,NA,56,19.8,1.0686,55,"Y",NA,31,0.0017043222,0.159491132,3,3,"N","N","N","N","N",0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DOP_0013","DOP","0013","EDSM","KT",2017,9,2017-09-18,"10:13","0013","18-08-LSR01","Delta Smelt",NA,20.9,182,0.08,NA,NA,NA,56,19.8,1.0242,57,"Y",NA,4,0.0002196,0.021441125,1,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
