dop_log_number,project,gear_type,year,month,serial_number,date,station,region,species,time,depth,temp_surf,cond_surf,ppt_surf,temp_bottom,cond_bottom,ppt_bott,secchi,turbidity,total_body_weight,gut_contents,fork_length,total_gut_content_weight,sum_of_number_of_prey,sum_of_final_wet_weight,gut_fullness,fullness_rank,digestion_rank,acanthocyclops,acartiella,acartiella_copepodid,barnacle_nauplii,bosmina,calanoid_copepodid,ceriodaphnia,chironomid_larvae,clams,copepod_nauplii,corophium_type,crab_zoea,cumaceans,cyclopoid_copepodid,daphnia,diaphanosoma,diaptomus_copepodid,eurytemora_copepodid,eurytemora_spp,gammarus_type,harpacticoids,hyperacanthomysis_longirostris,isopods,limnoithona_juvenile,limnoithona_spp,nippoleucon_hinumensis,oithona_davisae,ostracods,other_cladocera,other_cyclopoid,other_malacostraca,other_rotifer,other_zooplankton,palaemon,pseudodiaptomus_copepodid,pseudodiaptomus_forbesi,pseudodiaptomus_marinus,pseudodiaptomus_nauplii,pseudodiaptomus_spp,sinocalanus,sinocalanus_copepodid,sinocalanus_nauplii,terrestrial_invertebrates,tortanus_copepodid,tortanus_dextrilobatus,tridentiger_spp,unid_amphipod,un_id_calanoid,un_id_cladocera,unid_copepod,un_id_cyclopoid,unid_fish,unid_mysids
1,EDSM,KDTR,2017,8,0001,2017-08-10T00:00:00Z,18-02-CS01,Cache Slough LI,delta smelt,1899-12-31T08:30:00Z,NA,22.89999962,246,0.105660738069108,NA,NA,NA,50,21.200000760000002,0.386,Y,42,NA,30,8.242e-4,0.21352331606217614,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,6,8,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2,EDSM,KDTR,2017,8,0002,2017-08-15T00:00:00Z,18-03-SSC02,Sac DW Ship Channel,delta smelt,1899-12-31T11:51:00Z,NA,22.799999239999998,418.7999878,0.186730468025463,NA,NA,NA,28.0000001,39.70000076,0.7533,Y,52,0.00355,33,0.0012772999999999999,0.16956060002654985,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,2,5,0,0,0,8,1,0,0,0,0,0,0,0,1,1,0,0,0
3,EDSM,KDTR,2017,8,0003,2017-08-21T00:00:00Z,18-04-LSR05,Lower Sacramento,delta smelt,1899-12-31T08:42:00Z,NA,20.9,2632,1.33706769916907,NA,NA,NA,45,24.6,0.7654,Y,47,0.00396,40,3.602e-4,0.04706036059576692,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,EDSM,KDTR,2017,8,0004,2017-08-22T00:00:00Z,18-04-SSC02,Sac DW Ship Channel,delta smelt,1899-12-31T10:30:00Z,NA,22.89999962,1420,0.690172864934532,NA,NA,NA,30.0000012,56.29999924,0.5043,Y,47,0.0014,1,4.44e-5,0.008804283164782867,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,EDSM,KDTR,2017,8,0005,2017-08-28T00:00:00Z,18-05-LSR02,Lower Sacramento,delta smelt,1899-12-31T08:38:00Z,NA,21.89999962,902,0.424522087408687,NA,NA,NA,52.9999971,23.5,0.8861,Y,48,NA,136,0.0020951,0.23644058232705112,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,89,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
6,EDSM,KDTR,2017,8,0006,2017-08-28T00:00:00Z,18-05-LSR02,Lower Sacramento,delta smelt,1899-12-31T08:38:00Z,NA,21.89999962,902,0.424522087408687,NA,NA,NA,52.9999971,23.5,1.809,Y,64,NA,19,0.001068449593287053,0.059062995759372745,3,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,EDSM,KDTR,2017,9,0007,2017-09-08T00:00:00Z,18-06-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:49:00Z,NA,22.299999239999998,1976,0.983331591932554,NA,NA,NA,56.9999993,19.10000038,1.0606,Y,53,NA,81,0.0036166187432477423,0.3409974300629589,3,3,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,EDSM,KDTR,2017,9,0008,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T09:45:00Z,NA,20.89999962,159.1000061,0.0662786223811695,NA,NA,NA,57.9999983,16.200000760000002,0.7377,Y,49,0.0036,14,7.872666367422881e-4,0.1067190777744731,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,EDSM,KDTR,2017,9,0009,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T09:45:00Z,NA,20.89999962,159.1000061,0.0662786223811695,NA,NA,NA,57.9999983,16.200000760000002,0.726,Y,47,0.00377,17,8.711727532407509e-4,0.11999624700285827,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,EDSM,KDTR,2017,9,0010,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,Delta smelt,1899-12-31T09:45:00Z,NA,20.89999962,159.1000061,0.0662786223811695,NA,NA,NA,57.9999983,16.200000760000002,1.0353,Y,56,NA,40,0.0031970528869741323,0.30880449019357986,3,3,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,EDSM,KDTR,2017,9,0011,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T09:45:00Z,NA,20.89999962,159.1000061,0.0662786223811695,NA,NA,NA,57.9999983,16.200000760000002,0.7118,Y,47,NA,18,7.818e-4,0.1098342230963754,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,EDSM,KDTR,2017,9,0012,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.0686,Y,55,NA,31,0.001704322238447288,0.15949113217736177,3,3,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,EDSM,KDTR,2017,9,0013,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.0242,Y,57,NA,4,2.196e-4,0.021441124780316345,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,EDSM,KDTR,2017,9,0014,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.9596,Y,53,NA,41,0.0021119913976644115,0.2200908084268874,2,3,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,EDSM,KDTR,2017,9,0015,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.6474,Y,46,NA,3,1.647e-4,0.025440222428174234,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,EDSM,KDTR,2017,9,0016,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.7045,Y,51,NA,2,1.098e-4,0.015585521646557842,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,EDSM,KDTR,2017,9,0017,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.6586,Y,45,0.00837,6,6.168903350925962e-4,0.09366691999583909,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,EDSM,KDTR,2017,9,0018,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.2123,Y,55,NA,2,1.098e-4,0.009057164068299926,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
