station,longtidue,latitude
18-02-CS01,-121.6473388671875,38.33262062072754
18-02-SBM02,-122.04032897949219,38.06553522745768
18-02-SBM04,-121.96850967407227,38.06782531738281
18-03-HB01,-121.88857460021973,38.04781246185303
18-03-SM02,-122.05870056152344,38.133384704589844
18-03-SSC02,-121.62344169616699,38.38728046417236
18-04-LSJ03,-121.84247970581055,38.04911994934082
18-04-LSR05,NA,NA
18-04-SBM02,-122.05474472045898,38.110965728759766
18-04-SBM05,-122.04107666015625,38.08253860473633
18-04-SSC02,-121.61899948120117,38.39557075500488
18-05-LSR02,-121.84501266479492,38.0675048828125
18-05-SBM02,-122.01657104492188,38.06616020202637
18-06-LSR01,-121.87394714355469,38.05587463378906
18-06-SBM01,-122.00524648030598,38.063140869140625
18-06-SBM02,-122.06863212585449,38.09748554229736
18-07-HB01,-121.95839182535808,38.055859883626304
18-07-SBM01,-122.04732894897461,38.06014442443848
18-07-SBM02,-122.05794525146484,38.09499168395996
18-07-SBM03,-122.01763916015625,38.0719051361084
18-08-LSR01,-121.8525390625,38.06784629821777
18-08-LSR02,-121.86914443969727,38.05472946166992
18-08-SBM01,-122.0545145670573,38.09691619873047
18-08-SM01,-122.04330444335938,38.165626525878906
18-09-LSR01,-121.87721252441406,38.05631446838379
18-09-SBM01,-121.98421859741211,38.07178020477295
18-09-SBM02,-121.99900817871094,38.06057834625244
18-10-LSR06,-121.86654917399089,38.06312561035156
18-11-LSR01,-121.77211380004883,38.07602500915527
18-11-LSR02,-121.82940165201823,38.066802978515625
18-11-SM01,-121.96311696370442,38.17335001627604
18-12-SM01,-122.0076961517334,38.17802429199219
18-13-HB01,-121.89918772379558,38.048919677734375
18-13-LSR01,-121.84517669677734,38.06997489929199
18-14-SM01,-121.94746208190918,38.17364978790283
18-15-LSR02,-121.78771514892578,38.063150024414064
18-17-LSR01,-121.83230972290039,38.07038688659668
18-18-HB01,-121.92031351725261,38.044752756754555
18-18-SBM02,-121.99708811442058,38.08303960164388
18-18-SM01,-121.96983083089192,38.186022440592446
18-49-CF01,-121.9029312133789,38.04563522338867
18-49-LSSC03,-121.61927541097005,38.39557011922201
18-50-LSSC01,-121.60638936360677,38.424521128336586
18-51-CF02,-121.85817082722981,38.06363868713379
18-51-HB01,-121.93885040283203,38.054922103881836
18-51-LSSC01,-121.59616470336914,38.445974349975586
18-51-LSSC04,-121.6075833638509,38.42158444722494
18-52-LSSC02,-121.60716247558594,38.42289066314697
18-52-LSSC03,-121.65440368652344,38.30247497558594
18-52-LSSC05,-121.60847473144531,38.419485092163086
