common_name,life_stage,comments,phylum,class,order,family,genus,species,dry_weight,dry_reference,carbon_weight,carbon_reference,wet_weight,wet_weight_reference,length_group
Acanthocyclops,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,Acanthocyclops,vernalis,5.7,Nobriga 1998,3,Kimmerer (MEPS 2006),3.82e-5,POD Fish Guts,NA
Acanthomysis aspera,All,NA,Arthropoda,Malacostraca,Mysidacea,NA,Acanthomysis,aspera,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
Acanthomysis hwanhaiensis,All,NA,Arthropoda,Malacostraca,Mysidacea,NA,Acanthomysis,hwanhaiensis,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
Acanthomysis macropsis,All,NA,Arthropoda,Malacostraca,Mysidacea,NA,Acanthomysis,macropsis,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
Acartia copepodid,Copepodid,NA,Arthropoda,Copepoda,Calanoida,NA,Acartia,spp.,1.49,"Carbon weight is 42% of dry weight, Beers (1966)",0.625,Kimmerer (MEPS 2006),1.14e-5,Wet = Kimmerer (2006) ((0.625 ug C * 0.000001) / 0.42) / 0.13,NA
Acartia spp.,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Acartia,spp.,14,POD Fish Guts,2.5,Kimmerer (MEPS 2006),7.19e-5,POD Fish Guts,NA
Acartiella,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Acartiella,sinensis,12.5,POD Fish Guts,3,Kimmerer (MEPS 2006),7.53e-5,POD Fish Guts,NA
Acartiella copepodid,Copepodid,NA,Arthropoda,Copepoda,Calanoida,NA,Acartiella,NA,3.76,POD Fish Guts,0.75,Kimmerer (MEPS 2006),2.77e-5,POD Fish Guts,NA
Annelid worms,All,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weight not quantified. Found as parasite, not food.",NA
Asplanchna,All,NA,Rotifera,Monogononta,Ploima,Asplanchnidae,Asplanchna,spp.,0.16,Nobriga 1998,0.3,Kimmerer (MEPS 2006),3.6e-6,POD Fish Guts; From Other rotifer,NA
barnacle nauplii,Nauplii,NA,Arthropoda,Cirripedia,Sessilia,NA,NA,NA,2.5,POD Fish Guts,NA,NA,1.39e-5,POD Fish Guts,NA
Bosmina,All,NA,Arthropoda,Branchiopoda,Cladocera,NA,Bosmina,longirostris,1.5,Nobriga 1998,1.4,Kimmerer (MEPS 2006),6.9e-6,POD Fish Guts,NA
calanoid copepodid,Copepodid,NA,Arthropoda,Copepoda,Calanoida,NA,NA,NA,3,Nobriga 1998,0.625,Kimmerer (MEPS 2006),1.38e-5,POD Fish Guts,NA
Ceriodaphnia,All,NA,Arthropoda,Branchiopoda,Cladocera,NA,Ceriodaphnia,spp.,3.88,POD Fish Guts,1.4,Kimmerer (MEPS 2006),3.23e-5,POD Fish Guts,NA
