DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diaphanosoma spp,Diaptomus copepodid,Eurytemora copepodid,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cyclopoid,Unid fish,Unid mysids
0001,EDSM,KT,2017,8,10-Aug-17,18-02-CS01,Cache Slough LI,0001,Delta Smelt,8:30,,22.9,246,0.11,,,,50,21.2,0.3860,Y,42,,30,0.0008242000,0.213523316,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,6,8,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0002,EDSM,KT,2017,8,15-Aug-17,18-03-SSC02,Sac DW Ship Channel,0002,Delta Smelt,11:51,,22.8,419,0.19,,,,28,39.7,0.7533,Y,52,0.0036,33,0.0012773000,0.1695606,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,2,5,0,0,0,1,0,8,0,0,0,0,0,0,1,1,0,0,0
0003,EDSM,KT,2017,8,21-Aug-17,18-04-LSR05,Lower Sacramento,0003,Delta Smelt,8:42,,20.9,2632,1.34,,,,45,24.6,0.7654,Y,47,0.0040,40,0.0003602000,0.047060361,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004,EDSM,KT,2017,8,22-Aug-17,18-04-SSC02,Sac DW Ship Channel,0004,Delta Smelt,10:30,,22.9,1420,0.69,,,,30,56.3,0.5043,Y,47,0.0014,1,0.0000444000,0.008804283,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005,EDSM,KT,2017,8,28-Aug-17,18-05-LSR02,Lower Sacramento,0005,Delta Smelt,8:38,,21.9,902,0.42,,,,53,23.5,0.8861,Y,48,,136,0.0020951000,0.236440582,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,89,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0006,EDSM,KT,2017,8,28-Aug-17,18-05-LSR02,Lower Sacramento,0006,Delta Smelt,8:38,,21.9,902,0.42,,,,53,23.5,1.8090,Y,64,,19,0.0010684496,0.059062996,3,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007,EDSM,KT,2017,9,08-Sep-17,18-06-LSR01,Lower Sacramento,0007,Delta Smelt,8:49,,22.3,1976,0.98,,,,57,19.1,1.0606,Y,53,,81,0.0036166187,0.34099743,3,3,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0008,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0008,Delta Smelt,9:45,,20.9,159,0.07,,,,58,16.2,0.7377,Y,49,0.0036,14,0.0007872666,0.106719078,3,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0009,Delta Smelt,9:45,,20.9,159,0.07,,,,58,16.2,0.7260,Y,47,0.0038,17,0.0008711728,0.119996247,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0010,Delta Smelt,9:45,,20.9,159,0.07,,,,58,16.2,1.0353,Y,56,,40,0.0031970529,0.30880449,3,3,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0011,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0011,Delta Smelt,9:45,,20.9,159,0.07,,,,58,16.2,0.7118,Y,47,,18,0.0007818000,0.109834223,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0012,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.0686,Y,55,,31,0.0017043222,0.159491132,3,3,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0013,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0013,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.0242,Y,57,,4,0.0002196000,0.021441125,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0014,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.9596,Y,53,,41,0.0021119914,0.220090808,2,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0015,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6474,Y,46,,3,0.0001647000,0.025440222,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0016,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.7045,Y,51,,2,0.0001098000,0.015585522,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0017,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6586,Y,45,0.0084,6,0.0006168903,0.09366692,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0018,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.2123,Y,55,,2,0.0001098000,0.009057164,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0019,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.4813,N,40,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0020,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.7869,Y,47,,24,0.0010853000,0.137920956,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0021,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0021,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6673,Y,48,,17,0.0006940000,0.104001199,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0022,EDSM,KT,2017,9,18-Sep-17,18-08-LSR02,Lower Sacramento,0022,Delta Smelt,11:08,,21.4,436,0.19,,,,54,21.2,0.6259,Y,43,0.0037,21,0.0010040251,0.160413019,2,3,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023,EDSM,KT,2017,9,18-Sep-17,18-08-LSR02,Lower Sacramento,0023,Delta Smelt,11:08,,21.4,436,0.19,,,,54,21.2,0.5445,Y,44,,106,0.0027860242,0.511666525,3,3,0,0,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,26,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0024,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0024,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.2907,Y,57,,53,0.0035503133,0.275068824,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0025,EDSM,KT,2017,9,29-Sep-17,18-09-LSR01,Lower Sacramento,0025,Delta Smelt,8:09,,18.9,157,0.07,,,,107,9.7,1.1962,Y,55,,28,0.0007947000,0.066435379,1,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026,EDSM,KT,2017,10,04-Oct-17,18-10-LSR06,Lower Sacramento,0026,Delta Smelt,8:36,,18.4,886,0.42,,,,52,20.4,1.3765,Y,61,0.0084,9,0.0005877000,0.042695242,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
