DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,FullnessRank,DigestionRank,Debris (sand/silt/mud),Unid animal material,Unid plant material
0001,EDSM,KT,2017,8,10-Aug-17,18-02-CS01,Cache Slough LI,1,Delta Smelt,8:30,,22.9,246,0.11,,,,50,21.2,0.3860,Y,45,,2,3,,1,
0002,EDSM,KT,2017,8,15-Aug-17,18-03-SSC02,Sac DW Ship Channel,2,Delta Smelt,11:51,,22.8,419,0.19,,,,28,39.7,0.7533,Y,54,0.0036,2,3,,1,
0003,EDSM,KT,2017,8,21-Aug-17,18-04-LSR05,Lower Sacramento,3,Delta Smelt,8:42,,20.9,2632,1.34,,,,45,24.6,0.7654,Y,48,0.0040,2,2,1,,1
0004,EDSM,KT,2017,8,22-Aug-17,18-04-SSC02,Sac DW Ship Channel,4,Delta Smelt,10:30,,22.9,1420,0.69,,,,30,56.3,0.5043,Y,49,0.0014,1,2,,1,1
0005,EDSM,KT,2017,8,28-Aug-17,18-05-LSR02,Lower Sacramento,5,Delta Smelt,8:38,,21.9,902,0.42,,,,53,23.5,0.8861,Y,51,,2,2,1,1,
0007,EDSM,KT,2017,9,08-Sep-17,18-06-LSR01,Lower Sacramento,7,Delta Smelt,8:49,,22.3,1976,0.98,,,,57,19.1,1.0606,Y,55,,3,3,,1,
0009,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,9,Delta Smelt,9:45,,20.9,159,0.07,,,,58,16.2,0.7260,Y,48,0.0038,2,2,1,,
0010,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,10,Delta Smelt,9:45,,20.9,159,0.07,,,,58,16.2,1.0353,Y,56,,3,3,,,1
0012,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,12,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.0686,Y,55,,3,3,,1,
0015,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,15,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6474,Y,47,,1,2,1,,
