DOPLogNumber,Project,SurveyDate,Station,Species,SerialNumber,PreyType,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
0002,EDSM,15-Aug-17,18-03-SSC02,Delta Smelt,0002,Hyperacanthomysis longirostris,,1,ED,
0002,EDSM,15-Aug-17,18-03-SSC02,Delta Smelt,0002,Hyperacanthomysis longirostris,,1,ED,
0006,EDSM,28-Aug-17,18-05-LSR02,Delta Smelt,0006,Corophium type,juvenile Corophium,1.1,,
0007,EDSM,08-Sep-17,18-06-LSR01,Delta Smelt,0007,Corophium type,A. spinicorne,2.1,,0.00028
0007,EDSM,08-Sep-17,18-06-LSR01,Delta Smelt,0007,Corophium type,juvenile Corophium,1.2,,
0008,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0008,Hyperacanthomysis longirostris,,1.6,Y,
0008,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0008,Corophium type,juvenile Corophium,1.1,,
0008,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0008,Corophium type,juvenile Corophium,1.3,,
0008,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0008,Gammarus type,juvenile Gammarus,1.6,S,
0009,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0009,Corophium type,juvenile Corophium,2,,
0010,EDSM,18-Sep-17,18-08-LSR01,Delta smelt,0010,Gammarus type,juvenile Gammarus,1.8,,
0010,EDSM,18-Sep-17,18-08-LSR01,Delta smelt,0010,Corophium type,A. stimpsoni,3.8,,0.00068
0010,EDSM,18-Sep-17,18-08-LSR01,Delta smelt,0010,Gammarus type,juvenile Gammarus,1.1,,
0012,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0012,Corophium type,Unid Corophium type,1.3,S,
0012,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0012,Corophium type,juvenile Corophium,1.2,S,
0014,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0014,Gammarus type,juvenile Gammarus,1.7,,
0017,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0017,Corophium type,juvenile Corophium,1,,
0017,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0017,Corophium type,juvenile Corophium,1.1,,
0017,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0017,Gammarus type,Unid Gammaroidea,3,,0.0002
0020,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0020,Corophium type,juvenile Corophium,1,,
0022,EDSM,18-Sep-17,18-08-LSR02,Delta Smelt,0022,Corophium type,juvenile Corophium,1.6,,
0022,EDSM,18-Sep-17,18-08-LSR02,Delta Smelt,0022,Corophium type,juvenile Corophium,1,,
0023,EDSM,18-Sep-17,18-08-LSR02,Delta Smelt,0023,Corophium type,juvenile Corophium,1.3,S,
0024,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0024,Unid Mysids,,1.6,S,
0024,EDSM,18-Sep-17,18-08-LSR01,Delta Smelt,0024,Gammarus type,Unid Gammarus type,3,S,
0027,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0027,Gammarus type,Gammarus spp.,5.6,,
0027,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0027,Unid Amphipod,Unid amphipod,2.9,S,
0027,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0027,Gammarus type,juvenile Gammarus,1.5,,
0028,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0028,Corophium type,Unid Corophium type,3.5,S,
0029,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0029,Unid Amphipod,Unid amphipod,2.9,S,
0029,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0029,Gammarus type,Unid Gammarus type,3.3,S,
0030,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0030,Gammarus type,Unid Gammarus type,3.2,ED,
0030,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0030,Corophium type,juvenile Corophium,1.8,,
0030,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0030,Gammarus type,Gammarus spp.,4.9,,
0030,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0030,Gammarus type,juvenile Gammarus,1.9,,
0030,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0030,Gammarus type,Gammarus spp.,4.9,G,
0030,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0030,Gammarus type,Unid Gammarus type,3.2,ED,
0031,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0031,Gammarus type,Unid Gammarus type,3.2,ED,
0031,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0031,Gammarus type,Unid Gammarus type,4.6,ED,
0032,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0032,Gammarus type,juvenile Gammarus,1.9,S,
0032,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0032,Gammarus type,Gammarus spp.,6.8,,
0032,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0032,Gammarus type,Gammarus spp.,3.6,,
0032,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0032,Gammarus type,Gammarus spp.,2.4,,0.00027
