"DOPLogNumber","Project","Year","SurveyDate","Station","Species","GutContents"
19,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","n"
246,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","n"
248,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","N"
272,"EDSM",2019,7/16/2019 0:00:00,"19-51-SBW02","Delta Smelt","N"
273,"EDSM",2019,7/30/2019 0:00:00,"19-53-SBW01","Delta Smelt","n"
279,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
280,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
283,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
284,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
285,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
290,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","N"
293,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","N"
294,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
296,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
297,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","N"
299,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
300,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
302,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
303,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
304,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","n"
363,"ELS",2019,4/23/2019 0:00:00,"19-39-SC03","Delta Smelt","N"
368,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","n"
377,"ELS",2019,4/23/2019 0:00:00,"19-39-SC05","Delta Smelt","n"
381,"ELS",2019,5/16/2019 0:00:00,"19-42-DI03","Delta Smelt","n"
382,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","n"
388,"ELS",2019,5/21/2019 0:00:00,"19-43-SC02","Delta Smelt","n"
401,"ELS",2019,5/30/2019 0:00:00,"19-44-GBSM25","Delta Smelt","N"
429,"EDSM",2020,7/15/2020 0:00:00,"20-51-LSSC02","Delta Smelt","n"
440,"EDSM",2020,7/6/2020 0:00:00,"20-50-LSSC02","Delta Smelt","n"
1,"EDSM",2017,8/10/2017 0:00:00,"18-02-CS01","Delta Smelt","Y"
2,"EDSM",2017,8/15/2017 0:00:00,"18-03-SSC02","Delta Smelt","Y"
3,"EDSM",2017,8/21/2017 0:00:00,"18-04-LSR05","Delta Smelt","y"
4,"EDSM",2017,8/22/2017 0:00:00,"18-04-SSC02","Delta Smelt","y"
5,"EDSM",2017,8/28/2017 0:00:00,"18-05-LSR02","Delta Smelt","y"
6,"EDSM",2017,8/28/2017 0:00:00,"18-05-LSR02","Delta Smelt","y"
7,"EDSM",2017,9/8/2017 0:00:00,"18-06-LSR01","Delta Smelt","y"
8,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
9,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
10,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
11,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
12,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
13,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
14,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
15,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
16,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
17,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
18,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
20,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
21,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
22,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR02","Delta Smelt","y"
23,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR02","Delta Smelt","y"
24,"EDSM",2017,9/18/2017 0:00:00,"18-08-LSR01","Delta Smelt","y"
25,"EDSM",2017,9/29/2017 0:00:00,"18-09-LSR01","Delta Smelt","y"
26,"EDSM",2017,10/4/2017 0:00:00,"18-10-LSR06","Delta Smelt","y"
27,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
28,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
29,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","Y"
30,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
31,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
32,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
33,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
34,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
35,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
36,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
37,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
38,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
39,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
40,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
41,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
42,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
43,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
44,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
45,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","Y"
46,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
47,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
48,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
49,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
50,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
51,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","Y"
52,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
53,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
54,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
55,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
56,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
57,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
58,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR01","Delta Smelt","y"
59,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR02","Delta Smelt","y"
60,"EDSM",2017,10/10/2017 0:00:00,"18-11-LSR02","Delta Smelt","y"
61,"EDSM",2017,8/10/2017 0:00:00,"18-02-SBM02","Delta Smelt","Y"
62,"EDSM",2017,8/11/2017 0:00:00,"18-02-SBM04","Delta Smelt","y"
63,"EDSM",2017,8/11/2017 0:00:00,"18-02-SBM04","Delta Smelt","y"
