FLaSHLogNumber,Project,GearType,Year,Month,Date,Station,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank
75,FMWT,MWT,2011,9,8-Sep-11,405,1501,Delta Smelt,7:58,6.1,19.1,10490,5.91,,13420,7.72,27,104,,N,48,,0,0,0,,
168,STN,TWNET,2011,8,25-Aug-11,418,1086,Delta Smelt,10:58,8.2,20.8,13250,7.61,20.4,14210,8.21,46,19.9,0.4545,N,42,,0,0,0,,
197,FMWT,MWT,2011,11,9-Nov-11,407,2770,Delta Smelt,9:03,12.2,14,15370,8.94,,19950,11.87,66,14.2,0.8445,N,51,,0,0,0,,
214,FMWT,MWT,2011,12,16-Dec-11,797,2076,Delta Smelt,11:01,11.6,9.1,517,0.23,,568,0.26,17,72.7,2.4489,N,68,,0,0,0,,
461,SKT,KT,2012,2,15-Feb-12,704,4425,Delta Smelt,7:56,11.9,10.5,640,0.29,,,,43,28,1.4267,N,57,,0,0,0,,
607,SKT,KT,2012,4,5-Apr-12,411,4963,Delta Smelt,7:56,6.1,12.8,1170,0.56,,,,20,117,3.0327,N,75,,0,0,0,,
608,SKT,KT,2012,4,5-Apr-12,411,4964,Delta Smelt,7:56,6.1,12.8,1170,0.56,,,,20,117,3.0301,N,72,,0,0,0,,
639,SKT,KT,2012,4,4-Apr-12,706,4915,Delta Smelt,7:26,9.4,12.5,174,0.07,,,,81,47,1.8383,N,69,,0,0,0,,
650,SKT,KT,2012,4,4-Apr-12,715,4927,Delta Smelt,9:40,12.8,13.4,312,0.14,,,,34,42,2.7536,N,67,,0,0,0,,
715,SKT,KT,2012,4,4-Apr-12,704,4914,Delta Smelt,7:00,10.1,12.5,186,0.08,,,,32,75,2.0355,N,67,,0,0,0,,
1147,SKT,KT,2013,4,4-Apr-13,704,6468,Delta Smelt,9:16,10.1,16.4,269,0.12,,,,72,14,2.6288,N,69,,0,0,0,0,
1199,STN,TWNET,2013,6,26-Jun-13,508,117,Delta Smelt,9:53,14,20.5,7824,4.31,,8514,4.72,40,,0.4925,N,41,,0,0,0,0,
1200,STN,TWNET,2013,6,26-Jun-13,508,118,Delta Smelt,9:53,14,20.5,7824,4.31,,8514,4.72,40,,0.4203,N,39,,0,0,0,0,
1208,STN,TWNET,2013,6,27-Jun-13,606,138,Delta Smelt,9:48,5.5,21.4,11579,6.58,,11895,6.77,22,,0.4307,N,40,,0,0,0,0,
1220,STN,TWNET,2013,6,27-Jun-13,610,121,Delta Smelt,7:17,4.6,21.4,7675,4.22,,7674,4.22,30,,0.2255,N,32,,0,0,0,0,
1225,STN,TWNET,2013,6,10-Jun-13,704,9,Delta Smelt,10:17,9.1,19.2,1466,0.71,,1682,0.83,27,,0.1861,N,31,,0,0,0,0,
1230,STN,TWNET,2013,6,11-Jun-13,719,50,Delta Smelt,9:54,11.3,21,408,0.18,,380,0.17,28,,0.1458,N,28,,0,0,0,0,
1231,STN,TWNET,2013,6,11-Jun-13,719,51,Delta Smelt,9:54,11.3,21,408,0.18,,380,0.17,28,,0.2121,N,32,,0,0,0,0,
1238,STN,TWNET,2012,6,27-Jun-12,513,5227,Delta Smelt,7:50,15.2,19.8,1504,0.73,19.2,1981,0.99,44,21.20000076,0.3353,N,39,,0,0,0,0,
1259,SKT,KT,2012,5,3-May-12,501,5127,Delta Smelt,7:30,10.4,17.2,1301,0.63,,,,20,62,2.7507,N,69,,0,0,0,0,
1260,SKT,KT,2012,5,3-May-12,411,5129,Delta Smelt,8:03,2.7,17.1,4263,2.24,,,,27,73,1.7094,N,63,,0,0,0,0,
