FLaSHLogNumber,Project,Date,Station,Species,SerialNumber,PreyType,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
3,STN,8/24/2011 0:00,501,delta smelt,1005,Hyperacanthomysis longirostris,,1.8,,
3,STN,8/24/2011 0:00,501,delta smelt,1005,Corophium,,0.8,,
3,STN,8/24/2011 0:00,501,delta smelt,1005,Unid Amphipod,Unid amphipod,0.8,G,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,1.3,,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,2.3,,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,1.6,G,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,1.2,,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,1,,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,2.2,,
4,STN,8/26/2011 0:00,340,delta smelt,1087,Corophium,,1.5,,
5,STN,8/25/2011 0:00,602,delta smelt,1062,Corophium,,1.1,,
6,STN,8/24/2011 0:00,519,delta smelt,1006,Hyperacanthomysis longirostris,,2.6,ED,
6,STN,8/24/2011 0:00,519,delta smelt,1006,Hyperacanthomysis longirostris,,2.6,ED,
6,STN,8/24/2011 0:00,519,delta smelt,1006,Hyperacanthomysis longirostris,,1.8,,
6,STN,8/24/2011 0:00,519,delta smelt,1006,Hyperacanthomysis longirostris,,2,,
6,STN,8/24/2011 0:00,519,delta smelt,1006,Corophium,,1.2,,
11,STN,8/25/2011 0:00,602,delta smelt,1082,Corophium,,1.8,,
15,STN,8/24/2011 0:00,501,delta smelt,1004,Palaemon,,2.9,,
19,STN,8/25/2011 0:00,602,delta smelt,1071,Palaemon,,2.45,Y,
20,STN,8/25/2011 0:00,602,delta smelt,1075,Unid Mysids,,2.31,M,
22,STN,8/25/2011 0:00,602,delta smelt,1079,Hyperacanthomysis longirostris,,1.6,,
23,STN,8/25/2011 0:00,602,delta smelt,1073,Unid Mysids,,3.1,ED,
24,STN,8/25/2011 0:00,602,delta smelt,1077,Corophium,,2.1,,
28,STN,8/23/2011 0:00,716,delta smelt,1366,Unid Amphipod,Unid amphipod,1.16,Y,
31,FMWT,9/8/2011 0:00,413,delta smelt,1109,Hyperacanthomysis longirostris,,1.8,ED,
31,FMWT,9/8/2011 0:00,413,delta smelt,1109,Palaemon,,2.45,M,
31,FMWT,9/8/2011 0:00,413,delta smelt,1109,Corophium,,1.1,,
31,FMWT,9/8/2011 0:00,413,delta smelt,1109,Corophium,,0.9,,
31,FMWT,9/8/2011 0:00,413,delta smelt,1109,Corophium,,1.1,,
31,FMWT,9/8/2011 0:00,413,delta smelt,1109,Corophium,,1.1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Unid Mysids,,1.5,G,
