PreyCategory,LifeStage,PreyCategoryDefinition,Phylum,Class,Order,Family,Genus,Species,WetWeight,WetWeightReference,StartDate,EndDate,Comments
Annelid worms,All,,Annelida,,,,,,,"Weight not quantified. Found as parasite, not food.",,,
Other rotifer,All,,Rotifera,Monogononta,Ploima,,,,0.0000036,POD Fish Guts,,,
Chironomid larvae,Larvae,,Arthropoda,Insecta,Diptera,Chironomidae,,,0.000164,POD Fish Guts,,,
Other insect larvae,Larvae,,Arthropoda,Insecta,,,,,0.0004904,POD Fish Guts,,,
Unid fish,All,,Chordata,,,,,,,Based on length-weight equation. See LW equations tables,,,
Fish eggs,All,,Chordata,,,,,,0.0000223,POD Fish Guts,,,
Unid rotifer,All,,Rotifera,Monogononta,Ploima,,,,0.0000036,POD Fish Guts; From Other rotifer,,,
Clams,All,,Mollusca,Bivalvia,,,,,0.0000334,POD Fish Guts,,,
Terrestrial invertebrates,All,,Anthropoda,,,,,,0.0002366,POD Fish Guts,,,"Ants, spiders, flies with wings, etc."
Ostracods,All,,Arthropoda,Ostacoda,,,,,0.0000481,POD Fish Guts,,,
Barnacle nauplii,Nauplii,,Arthropoda,Cirripedia,Sessilia,,,,0.0000139,POD Fish Guts,,,
Copepod nauplii,Nauplii,,Arthropoda,Copepoda,,,,,0.0000024,POD Fish Guts,,,
Acanthomysis aspera,All,,Arthropoda,Malacostraca,Mysidacea,,Acanthomysis,aspera,,Based on length-weight equation. See LW equations tables,,,
Hyperacanthomysis longirostris,All,,Arthropoda,Malacostraca,Mysidacea,,Hyperacanthomysis,longirostris,,Based on length-weight equation. See LW equations tables,,,
Acanthomysis hwanhaiensis,All,,Arthropoda,Malacostraca,Mysidacea,,Acanthomysis,hwanhaiensis,,Based on length-weight equation. See LW equations tables,,,
Acanthomysis macropsis,All,,Arthropoda,Malacostraca,Mysidacea,,Acanthomysis,macropsis,,Based on length-weight equation. See LW equations tables,,,
Deltamysis homquistae,All,,Arthropoda,Malacostraca,Mysidacea,,Deltamysis,homquistae,,Based on length-weight equation. See LW equations tables,,,
Neomysis kadiakensis,All,,Arthropoda,Malacostraca,Mysidacea,,Neomysis,kadiakensis,,Based on length-weight equation. See LW equations tables,,,
Neomysis mercedis,All,,Arthropoda,Malacostraca,Mysidacea,,Neomysis,mercedis,,Based on length-weight equation. See LW equations tables,,,
Cyclopoid copepodid,Copepodid,,Arthropoda,Copepoda,Cyclopoida,,,,0.0000137,Wet = Kimmerer (2006) ((0.75 ug C * 0.000001) / 0.42) / 0.13,,,
Acanthocyclops spp,Adult,,Arthropoda,Copepoda,Cyclopoida,,Acanthocyclops,vernalis,0.0000382,POD Fish Guts,,,"No longer id'd, will now be marked as “Other Cyclopoid”."
Oithona similis,Adult,,Arthropoda,Copepoda,Cyclopoida,,Oithona,similis,0.0000092,Wet = Kimmerer (2006) ((0.5 ug C * 0.000001) / 0.42) / 0.13,,,
Oithona davisae,Adult,,Arthropoda,Copepoda,Cyclopoida,,Oithona,davisae,0.0000042,Wet = Kimmerer (2006) ((0.23 ug C * 0.000001) / 0.42) / 0.13,,,
Limnoithona spp,Adult,,Arthropoda,Copepoda,Cyclopoida,,Limnothoina,spp,0.0000056,POD Fish Guts,,,
Oithona spp,Adult,,Arthropoda,Copepoda,Cyclopoida,,Oithona,spp,0.0000066,Wet = Kimmerer (2006); Average from Oithona davisae and similis,,,
UnID cyclopoid,Adult,,Arthropoda,Copepoda,Cyclopoida,,,,0.0000217,POD Fish Guts,,,
Other cyclopoid,Adult,,Arthropoda,Copepoda,Cyclopoida,,,,0.0000444,POD Fish Guts,,,Separated Eucyclops and Diacyclops adults from this category 29 July 2020
Acartia spp,Adult,,Arthropoda,Copepoda,Calanoida,,Acartia,spp,0.0000719,POD Fish Guts,,,
Diaptomus spp,Adult,,Arthropoda,Copepoda,Calanoida,,Diaptomus,spp,0.0000733,Wet = Kimmerer (2006) ((4 ug C * 0.000001) / 0.42) / 0.13,,,
Pseudodiaptomus spp,Adult,,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,spp,0.0000194,POD Fish Guts,,,
Eurytemora spp,Adult,,Arthropoda,Copepoda,Calanoida,,Eurytemora,affinis,0.0000403,Wet = Kimmerer (2006) ((2.2 ug C * 0.000001) / 0.42) / 0.13,,,
Sinocalanus spp,Adult,,Arthropoda,Copepoda,Calanoida,,Sinocalanus,doerrii,0.0000707,POD Fish Guts,,,
Osphranticum,Adult,,Arthropoda,Copepoda,Calanoida,,Osphranticum,labronectum,0.0000366,POD Fish Guts; From UnID calanoid,,,
Acartiella sinensis,Adult,,Arthropoda,Copepoda,Calanoida,,Acartiella,sinensis,0.0000753,POD Fish Guts,,,
Tortanus spp,Adult,,Arthropoda,Copepoda,Calanoida,,Tortanus,,0.0002196,POD Fish Guts,,,
Acartia copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Acartia,,0.0000114,Wet = Kimmerer (2006) ((0.625 ug C * 0.000001) / 0.42) / 0.13,,,
Calanoid copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,,,0.0000138,POD Fish Guts,,,
Eurytemora copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Eurytemora,affinis,0.0000101,Wet = Kimmerer (2006) ((0.55 ug C * 0.000001) / 0.42) / 0.13,,,
Pseudodiaptomus copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,,0.0000137,Wet = Kimmerer (2006) ((0.75 ug C * 0.000001) / 0.42) / 0.13,,,
Pseudodiaptomus euryhalinus,Adult,,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,euryhalinus,0.0000194,POD Fish Guts; from Pseudodiaptomus spp.,,,
Diaptomus copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Diaptomus,,0.0000114,Wet = Kimmerer (2006) ((0.625 ug C * 0.000001) / 0.42) / 0.13,,,
Acartiella copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Acartiella,,0.0000277,POD Fish Guts,,,
Tortanus copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Tortanus,,0.0000301,POD Fish Guts,,,
Tortanus dextrilobatus,Adult,,Arthropoda,Copepoda,Calanoida,,Tortanus,dextrilobatus,0.0002196,POD Fish Guts; from Tortanus,,,ID'd only to Tortanus spp.
UnID calanoid,Adult,,Arthropoda,Copepoda,Calanoida,,,,0.0000276,POD Fish Guts,,,
Other calanoid,Adult,,Arthropoda,Copepoda,Calanoida,,,,0.0000366,Wet = Kimmerer (2006) ((2 ug C * 0.000001) / 0.42) / 0.13,,,
Tortanus discaudatus,Adult,,Arthropoda,Copepoda,Calanoida,,Tortanus,discaudatus,0.0002196,POD Fish Guts; from Tortanus,,,ID'd only to Tortanus spp.
Harpacticoids,All,,Arthropoda,Copepoda,Harpacticoida,,,,0.0000227,POD Fish Guts,,,
Bosmina spp,All,,Arthropoda,Branchiopoda,Cladocera,,Bosmina,longirostris,0.0000069,POD Fish Guts,,,
Daphnia spp,All,,Arthropoda,Branchiopoda,Cladocera,,Daphnia,,0.0000504,POD Fish Guts,,,
Diaphanosoma spp,All,,Arthropoda,Branchiopoda,Cladocera,,Diaphanosoma,,0.0000283,POD Fish Guts,,,
Ceriodaphnia spp,All,,Arthropoda,Branchiopoda,Cladocera,,Ceriodaphnia,,0.0000323,POD Fish Guts,,,
UnID cladocera,All,,Arthropoda,Branchiopoda,Cladocera,,,,0.0000225,POD Fish Guts,,,
Other cladocera,All,,Arthropoda,Branchiopoda,Cladocera,,,,0.0000301,POD Fish Guts,,,Cladocera neonates count as individuals
Unid mysids,All,,Arthropoda,Malacostraca,Mysidacea,,,,,"See ""tbl_lookup_Zoo LW Equations""",,,
Cumaceans,All,,Arthropoda,Malacostraca,Cumacea,,,,0.0003307,POD Fish Guts,,,"Stopped using after July 2020 and separted Cumaceans into Nippoleucon hinumensis, Other Cumaceans and Unid Cumaceans"
