STATION,STARTX,STARTY,project,Region
72,-121.58057,38.18775,FMWT,Sacramento
73,-121.53937,38.27433,FMWT,Sacramento
305,-122.4086,37.9987,FMWT,San Pablo Bay
306,-122.41488,38.00042,FMWT,San Pablo Bay
307,-122.4192,38.00472,FMWT,San Pablo Bay
308,-122.40438,38.01745,FMWT,San Pablo Bay
309,-122.39387,38.01442,FMWT,San Pablo Bay
310,-122.37355,38.0297,FMWT,San Pablo Bay
311,-122.37743,38.02087,FMWT,San Pablo Bay
314,-122.41167,38.02812,FMWT,San Pablo Bay
315,-122.3936,38.03815,FMWT,San Pablo Bay
321,-122.36103,38.03612,FMWT,San Pablo Bay
322,-122.35078,38.02363,FMWT,San Pablo Bay
323,38.04288889,-122.2863056,20mm,San Pablo Bay
323,-122.32817,38.02853,FMWT,San Pablo Bay
323,-122.28281,38.04831,STN,San Pablo Bay
325,-122.2955,38.05605,FMWT,San Pablo Bay
326,-122.29592,38.04038,FMWT,San Pablo Bay
327,-122.36672,38.04772,FMWT,San Pablo Bay
328,-122.34842,38.06005,FMWT,San Pablo Bay
329,-122.30588,38.06312,FMWT,San Pablo Bay
334,-122.33933,38.07553,FMWT,San Pablo Bay
335,-122.3243,38.0705,FMWT,San Pablo Bay
336,-122.27875,38.06275,FMWT,San Pablo Bay
337,-122.27232,38.0595,FMWT,San Pablo Bay
338,-122.24892,38.06003,FMWT,San Pablo Bay
339,-122.2568,38.0667,FMWT,San Pablo Bay
340,38.09922222,-122.2632778,20mm,Napa River
340,-122.26988,38.10508,FMWT,Napa River
340,-122.26344,38.09928,SKT,Napa River
340,-122.26945,38.10391,STN,Napa River
341,-122.2802,38.12828,FMWT,Napa River
342,38.14625,-122.28875,20mm,Napa River
343,38.18236111,-122.3092778,20mm,Napa River
344,38.21269444,-122.3086944,20mm,Napa River
345,38.22383333,-122.3089722,20mm,Napa River
346,38.23638889,-122.2871667,20mm,Napa River
401,-122.21245,38.05758,FMWT,Carquinez Strait
403,-122.17192,38.04883,FMWT,Carquinez Strait
404,-122.17887,38.04645,FMWT,Carquinez Strait
405,38.03991667,-122.1467222,20mm,Carquinez Strait
405,-122.15815,38.03353,FMWT,Carquinez Strait
405,-122.1505,38.03969,SKT,Carquinez Strait
