project,station,latitude,longitude,region
20mm,323,38.04288889,-122.2863056,San Pablo Bay
20mm,340,38.09922222,-122.2632778,Napa River
20mm,342,38.14625,-122.28875,Napa River
20mm,343,38.18236111,-122.3092778,Napa River
20mm,344,38.21269444,-122.3086944,Napa River
20mm,345,38.22383333,-122.3089722,Napa River
20mm,346,38.23638889,-122.2871667,Napa River
20mm,405,38.03991667,-122.1467222,Carquinez Strait
20mm,411,38.05022222,-122.0765278,Suisun Bay
20mm,418,38.0675,-122.0955556,Suisun Bay
20mm,501,38.07333333,-122.0263333,Suisun Bay
20mm,504,38.05194444,-121.9860833,Suisun Bay
20mm,508,38.04716667,-121.9172222,Confluence
20mm,513,38.05886111,-121.86775,Confluence
20mm,519,38.07475,-121.9580833,Suisun Bay
20mm,520,38.03216667,-121.8631111,Confluence
20mm,602,38.11555556,-122.0423917,Suisun Bay
20mm,606,38.17058333,-122.0279167,Suisun Marsh
20mm,609,38.16708333,-121.9378333,Suisun Marsh
20mm,610,38.12219444,-121.8891111,Suisun Marsh
20mm,703,38.04861111,-121.7973889,Lower Sacramento River
20mm,704,38.06658333,-121.7903111,Lower Sacramento River
20mm,705,38.09761111,-121.70875,Lower Sacramento River
20mm,706,38.08608333,-121.7504444,Lower Sacramento River
20mm,707,38.11469444,-121.7078611,Confluence
20mm,711,38.17741667,-121.66225,Sacramento River
20mm,716,38.23855556,-121.6839167,Cache Slough
20mm,718,38.25755556,-121.7290278,Cache Slough
20mm,719,38.3335,-121.6475,Sacramento Deep Water Ship Channel
20mm,720,38.26263889,-121.7792778,Sacramento Deep Water Ship Channel
20mm,723,38.23725,-121.6730833,Cache Slough
20mm,724,38.25625,-121.6520833,Cache Slough
20mm,726,38.28305556,-121.6438333,Cache Slough
20mm,801,38.04369444,-121.844,Confluence
20mm,804,38.01644444,-121.7913056,Confluence
20mm,809,38.05377778,-121.6930278,San Juaquin
20mm,812,38.08991667,-121.6399167,San Juaquin
20mm,815,38.08713889,-121.5711389,San Juaquin
20mm,901,38.04625,-121.6185,South Delta
20mm,902,38.02038889,-121.5826667,South Delta
20mm,906,38.05002778,-121.5064722,South Delta
20mm,910,38.005,-121.4530278,South Delta
20mm,912,37.96641667,-121.3685556,South Delta
20mm,914,37.9715,-121.52,South Delta
20mm,915,37.94427778,-121.5678889,South Delta
20mm,918,37.859,-121.5671389,South Delta
20mm,919,38.10519444,-121.4945833,East Delta
EDSM,18-02-CS01,38.33262062,-121.6473389,Cache Slough/ Liberty Island
EDSM,18-02-SBM02,38.06553523,-122.040329,Suisun Bay/Marsh
EDSM,18-02-SBM04,38.06782532,-121.9685097,Suisun Bay/Marsh
EDSM,18-03-HB01,38.04781246,-121.8885746,Suisun Bay/Marsh
EDSM,18-03-SM02,38.1333847,-122.0587006,Suisun Bay/Marsh
EDSM,18-03-SSC02,38.38728046,-121.6234417,Sacramento Deep Water Ship Channel
EDSM,18-04-LSJ03,38.04911995,-121.8424797,Lower San Joaquin
EDSM,18-04-LSR05,38.05251,-121.86898,Lower Sacramento
EDSM,18-04-SBM02,38.11096573,-122.0547447,Suisun Bay/Marsh
EDSM,18-04-SBM05,38.0825386,-122.0410767,Suisun Bay/Marsh
EDSM,18-04-SSC02,38.39557076,-121.6189995,Sacramento Deep Water Ship Channel
EDSM,18-05-LSR02,38.06750488,-121.8450127,Lower Sacramento
EDSM,18-05-SBM02,38.0661602,-122.016571,Suisun Bay/Marsh
EDSM,18-06-LSR01,38.05587463,-121.8739471,Lower Sacramento
EDSM,18-06-SBM01,38.06314087,-122.0052465,Suisun Bay/Marsh
EDSM,18-06-SBM02,38.09748554,-122.0686321,Suisun Bay/Marsh
EDSM,18-07-HB01,38.05585988,-121.9583918,Suisun Bay/Marsh
EDSM,18-07-SBM01,38.06014442,-122.0473289,Suisun Bay/Marsh
EDSM,18-07-SBM02,38.09499168,-122.0579453,Suisun Bay/Marsh
EDSM,18-07-SBM03,38.07190514,-122.0176392,Suisun Bay/Marsh
EDSM,18-08-LSR01,38.0678463,-121.8525391,Lower Sacramento
EDSM,18-08-LSR02,38.05472946,-121.8691444,Lower Sacramento
EDSM,18-08-SBM01,38.0969162,-122.0545146,Suisun Bay/Marsh
EDSM,18-08-SM01,38.16562653,-122.0433044,Suisun Bay/Marsh
EDSM,18-09-LSR01,38.05631447,-121.8772125,Lower Sacramento
EDSM,18-09-SBM01,38.0717802,-121.9842186,Suisun Bay/Marsh
EDSM,18-09-SBM02,38.06057835,-121.9990082,Suisun Bay/Marsh
EDSM,18-10-LSR06,38.06312561,-121.8665492,Lower Sacramento
EDSM,18-11-LSR01,38.07602501,-121.7721138,Lower Sacramento
EDSM,18-11-LSR02,38.06680298,-121.8294017,Lower Sacramento
EDSM,18-11-SM01,38.17335002,-121.963117,Suisun Bay/Marsh
EDSM,18-12-SM01,38.17802429,-122.0076962,Suisun Bay/Marsh
EDSM,18-13-HB01,38.04891968,-121.8991877,Suisun Bay/Marsh
EDSM,18-13-LSR01,38.0699749,-121.8451767,Lower Sacramento
EDSM,18-14-SM01,38.17364979,-121.9474621,Suisun Bay/Marsh
EDSM,18-15-LSR02,38.06315002,-121.7877151,Lower Sacramento
EDSM,18-17-LSR01,38.07038689,-121.8323097,Lower Sacramento
EDSM,18-18-HB01,38.04475276,-121.9203135,Suisun Bay/Marsh
EDSM,18-18-SBM02,38.0830396,-121.9970881,Suisun Bay/Marsh
EDSM,18-18-SM01,38.18602244,-121.9698308,Suisun Bay/Marsh
EDSM,18-49-CF01,38.04563522,-121.9029312,Suisun Bay
EDSM,18-49-LSSC03,38.39557012,-121.6192754,Sacramento Deep Water Ship Channel
EDSM,18-50-LSSC01,38.42452113,-121.6063894,Sacramento Deep Water Ship Channel
EDSM,18-51-CF02,38.06363869,-121.8581708,Suisun Bay
EDSM,18-51-HB01,38.0549221,-121.9388504,Suisun Bay
EDSM,18-51-LSSC01,38.44597435,-121.5961647,Sacramento Deep Water Ship Channel
EDSM,18-51-LSSC04,38.42158445,-121.6075834,Sacramento Deep Water Ship Channel
EDSM,18-52-LSSC02,38.42289066,-121.6071625,Sacramento Deep Water Ship Channel
EDSM,18-52-LSSC03,38.30247498,-121.6544037,Sacramento Deep Water Ship Channel
